比赛id,上半场是否有进球,主队上半场得分,客队上半场得分,是否推荐场次,主队近期比赛数,主队近期总得分,主队近期总失分,主队近期上半场总得分,主队近期上半场总失分,主队30天内比赛数,主队30天内总得分,主队30天内总失分,主队30天内上半场总得分,主队30天内上半场总失分,客队近期比赛数,客队近期总得分,客队近期总失分,客队近期上半场总得分,客队近期上半场总失分,客队30天内比赛数,客队30天内总得分,客队30天内总失分,客队30天内上半场总得分,客队30天内上半场总失分
239,1,1,2,1,1,2,0,0,0,1,2,0,0,0,1,1,2,0,1,1,1,2,0,1
411,0,0,0,1,1,3,0,1,0,1,3,0,1,0,1,2,1,1,0,1,2,1,1,0
475,1,1,0,1,1,0,2,0,1,1,0,2,0,1,1,3,0,0,0,1,3,0,0,0
478,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,3,0,1,0,1,3,0,1,0
479,0,0,0,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,0,1,2,1,1,0
491,1,2,0,1,1,3,0,2,0,1,3,0,2,0,1,0,0,0,0,1,0,0,0,0
515,1,2,2,1,2,4,3,3,1,2,4,3,3,1,2,5,2,4,1,2,5,2,4,1
517,1,0,3,1,1,1,2,1,0,1,1,2,1,0,1,1,0,0,0,1,1,0,0,0
518,0,0,0,1,1,2,3,2,2,1,2,3,2,2,2,7,4,3,0,2,7,4,3,0
520,1,1,2,1,1,1,3,0,1,1,1,3,0,1,1,0,0,0,0,1,0,0,0,0
521,0,0,0,0,1,1,3,1,2,1,1,3,1,2,1,2,1,0,1,1,2,1,0,1
521,0,0,0,0,1,1,3,1,2,1,1,3,1,2,1,2,1,0,1,1,2,1,0,1
522,1,0,1,0,1,1,2,0,1,1,1,2,0,1,1,2,2,1,1,1,2,2,1,1
522,1,0,1,0,1,1,2,0,1,1,1,2,0,1,1,2,2,1,1,1,2,2,1,1
528,1,1,0,1,1,0,2,0,1,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0
529,0,0,0,1,1,3,2,0,2,1,3,2,0,2,1,0,1,0,0,1,0,1,0,0
532,1,2,3,1,1,3,0,3,0,1,3,0,3,0,1,3,3,1,2,1,3,3,1,2
533,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,3,1,1,1,1,3,1,1
534,0,0,0,1,1,0,1,0,1,1,0,1,0,1,2,5,4,5,3,2,5,4,5,3
535,1,2,0,1,2,7,5,4,4,2,7,5,4,4,2,1,2,1,1,2,1,2,1,1
536,1,1,0,1,2,0,1,0,0,2,0,1,0,0,1,1,1,0,0,1,1,1,0,0
537,0,0,0,0,2,0,1,0,1,2,0,1,0,1,2,3,2,0,2,2,3,2,0,2
537,0,0,0,0,2,0,1,0,1,2,0,1,0,1,2,3,2,0,2,2,3,2,0,2
538,1,0,1,0,2,3,1,2,0,2,3,1,2,0,1,1,0,1,0,1,1,0,1,0
539,0,0,0,1,1,0,1,0,1,1,0,1,0,1,2,6,2,2,1,2,6,2,2,1
540,0,0,0,0,1,1,1,0,0,1,1,1,0,0,2,0,1,0,0,2,0,1,0,0
540,0,0,0,0,1,1,1,0,0,1,1,1,0,0,2,0,1,0,0,2,0,1,0,0
542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1
543,1,2,2,1,1,1,2,0,1,1,1,2,0,1,1,0,0,0,0,1,0,0,0,0
544,1,1,1,1,1,0,4,0,2,1,0,4,0,2,1,2,1,1,0,1,2,1,1,0
545,1,0,2,1,1,1,0,1,0,1,1,0,1,0,1,2,1,1,0,1,2,1,1,0
546,1,2,1,1,1,1,1,0,1,1,1,1,0,1,1,4,0,2,0,1,4,0,2,0
547,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
551,1,0,1,1,1,1,2,0,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1
553,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
570,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
574,1,2,2,1,2,0,2,0,0,2,0,2,0,0,2,4,3,2,1,2,4,3,2,1
575,0,0,0,1,1,0,2,0,1,1,0,2,0,1,2,2,0,0,0,2,2,0,0,0
577,1,3,0,0,2,0,2,0,0,2,0,2,0,0,1,1,0,0,0,1,1,0,0,0
577,1,3,0,0,2,0,2,0,0,2,0,2,0,0,1,1,0,0,0,1,1,0,0,0
579,1,0,1,1,1,0,1,0,0,1,0,1,0,0,2,4,0,3,0,2,4,0,3,0
580,1,1,0,0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
580,1,1,0,0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0
581,0,0,0,1,1,2,1,1,0,1,2,1,1,0,1,2,2,2,1,1,2,2,2,1
583,1,1,1,1,1,1,2,0,1,1,1,2,0,1,1,1,0,0,0,1,1,0,0,0
600,1,1,3,1,1,1,3,0,2,1,1,3,0,2,1,1,1,0,1,1,1,1,0,1
632,1,1,0,1,1,2,1,1,0,1,2,1,1,0,1,0,1,0,0,1,0,1,0,0
633,1,1,2,1,1,0,2,0,2,1,0,2,0,2,1,1,2,0,2,1,1,2,0,2
643,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
